Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-02-01,2726.66,2742.2,2708.82,2727.96,22845027
2011-02-02,2749.19,2759.27,2717.28,2724.96,22099285
2011-02-03,2735.81,2750.69,2725.35,2733.73,21752744
2011-02-04,2752.43,2766.02,2728.82,2742.34,31149529
2011-02-07,2751.39,2763.01,2741.18,2741.18,22018270
2011-02-08,2751.97,2761.07,2732.7,2737.65,30512662
2011-02-09,2737.39,2749.34,2725.77,2742.05,25634086
2011-02-10,2734.33,2734.33,2700.96,2706.01,31319500
2011-02-11,2702.36,2727.07,2694.55,2727.06,20548659
2011-02-14,2741.99,2745.13,2705.2,2716.36,21535401
2011-02-15,2707.06,2718.86,2702.62,2702.62,15452590
2011-02-16,2712.66,2714.8,2687.36,2687.45,16886973
2011-02-17,2700.42,2703.27,2641.83,2641.83,27721854
2011-02-18,2651.41,2669.7,2627.95,2663.53,20431287
2011-02-21,2670.24,2672.66,2647.06,2661.46,16589543
2011-02-22,2638.72,2668.08,2638.72,2653.51,20014497
2011-02-23,2655.03,2680.98,2651.77,2673.86,25890485
2011-02-24,2644.9,2670.56,2644.17,2653.94,16657176
2011-02-25,2672.69,2683.56,2665.99,2673.52,18767829
2011-02-28,2676.19,2717.81,2669.82,2717.81,31247829
2011-03-01,2720.05,2722.4,2683.9,2692.29,17880629
2011-03-02,2679.41,2710.63,2666.79,2708.54,17940913
2011-03-03,2720.23,2766,2717.85,2762.89,28738438
2011-03-04,2777.6,2800.7,2767.39,2783.11,27082670
2011-03-07,2785.23,2820.13,2779.01,2788.23,30497213
2011-03-08,2811.89,2819.55,2776.52,2794.73,33682297
2011-03-09,2799.99,2803.93,2780.27,2780.27,21790108
2011-03-10,2766.35,2779.3,2758.78,2760.25,24167837
2011-03-11,2733.41,2754.49,2731.04,2749.3,19401373
2011-03-14,2743.35,2769.74,2731.42,2757.76,15272868
2011-03-15,2711.64,2748.55,2697.69,2748.55,32705193
2011-03-16,2746.51,2746.51,2714.19,2714.19,26637329
2011-03-17,2727.62,2758.56,2722.83,2757.54,22294380
2011-03-18,2765.87,2779.69,2755.03,2779.69,69083839
2011-03-21,2788.71,2800.84,2779.13,2792.57,16704838
2011-03-22,2786.41,2791.01,2754.1,2768.11,35739771
2011-03-23,2759.64,2782.04,2755.91,2768.96,25155412
2011-03-24,2766.38,2782.17,2761.04,2781.98,21294572
2011-03-25,2786.86,2813.89,2774.29,2813.89,30285036
2011-03-28,2806.83,2833.01,2801.23,2828.42,23287901
2011-03-29,2820.38,2822.71,2802.14,2816.07,20773513
2011-03-30,2832.02,2846.6,2806.43,2806.43,39433511
2011-03-31,2814.51,2821.83,2805.11,2816.96,22891190
2011-04-01,2826.61,2877.24,2826.13,2877.24,29354226
2011-04-04,2874.01,2897.45,2871.32,2883.35,18898641
2011-04-05,2883.84,2889.92,2869.49,2884.4,17752954
2011-04-06,2894.7,2931.54,2891.44,2928.19,26109969
2011-04-07,2922.09,2929.59,2907.98,2928.95,22535957
2011-04-08,2940.75,2942.39,2896.89,2903.53,48279419
2011-04-11,2914.84,2919.53,2892.03,2908.38,22426743
2011-04-12,2892.28,2907.06,2878.84,2890.82,21199220
2011-04-13,2902.9,2926.79,2893.32,2923.8,20386934
2011-04-14,2911.88,2921,2892.45,2906.85,15967072
2011-04-15,2912.8,2921.72,2904.62,2917.21,10989684
2011-04-18,2918.45,2920.37,2863.59,2872.7,18709186
2011-04-19,2874.33,2888.09,2868.57,2888.09,11218993
2011-04-20,2907.65,2938.04,2907.65,2925.83,18812122
2011-04-21,2927.89,2936.2,2905.36,2908.02,15666241
2011-04-26,2905.06,2927.04,2896.82,2927.04,19513201
