Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2010-02-01,63.91868,64.31653,62.69212,64.31653,1065909
2010-02-02,65.6427,67.10139,64.78079,66.30579,1824557
2010-02-03,67.10139,67.89709,65.24494,65.41067,2508468
2010-02-04,65.21174,65.21174,61.00139,61.00139,3339639
2010-02-05,59.74153,60.13938,57.35452,57.35452,3495797
2010-02-08,58.94583,59.54261,56.75775,58.34906,2097356
2010-02-09,59.27738,60.66976,59.27738,59.67523,2168709
2010-02-10,61.00139,61.59798,59.57581,59.67523,2152078
2010-02-11,60.90188,61.06761,58.78011,58.84632,1915855
2010-02-12,60.33831,61.13392,59.57581,59.94046,2049566
2010-02-15,60.37133,60.86868,59.94046,60.80247,902869
2010-02-16,61.46546,62.06223,60.63665,61.03441,1146102
2010-02-17,62.85784,63.25569,62.46008,62.99046,2103768
2010-02-18,62.85784,63.91868,62.36058,62.82473,1723602
2010-02-19,62.19476,63.81927,61.79691,63.65354,1446637
2010-02-22,64.81389,64.84709,63.91868,64.0513,1065871
2010-02-23,64.0513,64.38294,62.65892,62.72523,1270062
2010-02-24,62.36058,62.85784,61.56488,62.32747,973630
2010-02-25,62.32747,63.55413,60.73607,61.06761,1399091
2010-02-26,62.99046,63.91868,62.5263,63.91868,2265190
2010-03-01,65.04602,66.23948,64.58186,65.17854,1593375
2010-03-02,65.51018,66.37209,64.71448,66.17317,1665205
2010-03-03,66.17317,67.49924,65.60959,66.96887,1227373
2010-03-04,66.30579,67.89709,65.90803,66.37209,1406008
2010-03-05,67.03518,67.76448,66.27259,67.30032,1179069
2010-03-08,67.89709,67.9634,66.57102,67.63186,1040476
2010-03-09,67.43303,67.49924,66.4384,67.36663,1427754
2010-03-10,67.36663,68.29494,66.76994,68.29494,1228497
2010-03-11,67.76448,68.16233,67.36663,67.89709,954216
2010-03-12,68.22854,68.49415,67.49924,67.63186,2009664
2010-03-15,67.30032,67.36663,66.30579,66.37209,887703
2010-03-16,67.49924,68.36125,66.63733,68.36125,1088796
2010-03-17,68.82514,69.28966,68.09602,68.29494,3030736
2010-03-18,67.49924,68.36125,67.10139,68.02971,827010
2010-03-19,68.02971,68.89154,66.96887,67.63186,3788196
2010-03-22,67.10139,68.29494,67.10139,67.69817,769603
2010-03-23,67.83079,68.82514,67.83079,68.56045,1453336
2010-03-24,68.95794,68.95794,67.63186,67.76448,983316
2010-03-25,68.49415,69.28966,68.16233,69.28966,1762658
2010-03-26,69.42237,69.95247,68.75883,69.95247,2005361
2010-03-29,70.21789,71.1462,70.01887,70.01887,1168020
2010-03-30,70.94709,71.27882,70.417,70.88069,1122728
2010-03-31,69.68429,71.14823,69.55434,71.14823,1070458
2010-04-01,71.1462,72.60462,70.74799,72.60462,1958595
2010-04-06,72.73724,73.46644,72.60462,73.33447,1680374
2010-04-07,72.60462,73.06905,71.80901,72.60462,993560
2010-04-08,71.94172,72.20714,71.0798,71.0798,968797
2010-04-09,72.20714,73.93088,72.00803,73.59915,1058019
2010-04-12,74.19639,76.91476,73.26807,76.91476,2940566
2010-04-13,76.64934,78.1084,76.11915,76.91476,3736977
2010-04-14,77.18017,77.90938,76.71574,76.98116,1093856
2010-04-15,77.57756,77.57756,73.99728,76.71574,1173825
2010-04-16,76.25195,76.58294,75.05821,75.05821,892331
2010-04-19,73.99728,75.05821,72.20714,75.05821,988756
2010-04-20,75.5884,77.71027,75.32372,76.51663,1052092
2010-04-21,77.37855,77.37855,73.99728,74.2627,989778
2010-04-22,74.2627,75.25732,72.33975,72.33975,1075819
2010-04-23,73.33714,74.26058,72.6736,73.66555,824279
2010-04-26,75.5884,76.84845,74.9919,76.51663,810232
2010-04-27,75.32372,76.78205,74.59378,74.59378,1059360
2010-04-28,72.93625,74.2627,72.40615,72.93625,1689947
2010-04-29,73.53285,74.39541,71.80901,73.59915,2642167
2010-04-30,74.59589,75.85447,73.26881,73.26881,984625
2010-05-04,73.46644,73.73186,69.15686,69.62065,1643288
2010-05-05,69.28966,69.48868,65.31125,66.76994,2981665
2010-05-06,65.97424,68.02971,65.97424,66.30579,2370109
2010-05-07,64.18401,67.2341,64.18401,64.97971,2052931
2010-05-10,68.09602,69.75345,67.9634,69.75345,1662380
2010-05-11,69.15686,69.48868,68.22854,68.22854,1033357
2010-05-12,68.29494,69.62065,67.83079,69.62065,1342950
2010-05-13,70.21789,70.68168,69.28966,69.28966,2160533
2010-05-14,68.36125,68.82514,66.96887,66.96887,1536701
2010-05-17,64.97971,67.1677,64.74759,66.17317,2227256
2010-05-18,67.10139,67.1677,64.78079,65.24494,1457686
