Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2010-02-01,2364.11,2380.83,2356.89,2363.18,11767826
2010-02-02,2385.43,2386.88,2363.64,2374.35,25010246
2010-02-03,2397.45,2402.24,2375.45,2383.95,19636165
2010-02-04,2372.43,2380.29,2285.94,2285.94,35412582
2010-02-05,2257.82,2257.82,2195.65,2195.65,58831009
2010-02-08,2220.85,2233.74,2165.2,2189.35,33921973
2010-02-09,2216.13,2231.24,2205.27,2205.27,29721408
2010-02-10,2218.76,2245.89,2212.83,2215.15,70208803
2010-02-11,2238.28,2238.34,2172.88,2173.25,185834542
2010-02-12,2203.96,2225.14,2191.47,2216.71,68949644
2010-02-15,2230.44,2259.19,2218.2,2259.19,22185022
2010-02-16,2277.15,2279.99,2226.97,2239.53,57075715
2010-02-17,2288.94,2290.06,2270.81,2281.92,61430210
2010-02-18,2271.4,2273.86,2244.88,2250.77,40244627
2010-02-19,2226.99,2271,2223.97,2249.48,30131692
2010-02-22,2282.03,2284.74,2254.16,2267.3,15696872
2010-02-23,2273.75,2277.98,2235.98,2240.28,54593102
2010-02-24,2233.18,2243.09,2218.63,2233.08,17974216
2010-02-25,2235.96,2248.14,2185.14,2198.36,56916648
2010-02-26,2216.08,2265.01,2205.81,2265.01,72902975
2010-03-01,2280.01,2288.85,2261.52,2288.85,20585645
2010-03-02,2289.88,2354.14,2273.82,2347.58,44226683
2010-03-03,2356.08,2365.32,2334.53,2357.54,67513175
2010-03-04,2346.02,2376.85,2336.73,2361.62,135456583
2010-03-05,2366.51,2395.44,2358.33,2389.37,65966276
2010-03-08,2402.38,2406.55,2381.49,2406.55,25510338
2010-03-09,2400.17,2400.48,2374.53,2393.88,20566134
2010-03-10,2391.37,2425.09,2383.5,2412.18,97040034
2010-03-11,2408.98,2419.09,2399.42,2403.05,51216863
2010-03-12,2415.27,2445.13,2408.82,2415.82,102262056
2010-03-15,2416.21,2416.97,2385.36,2392.78,67385033
2010-03-16,2401.43,2445.34,2399.65,2445.34,100365264
2010-03-17,2471.03,2496.88,2452.31,2465.98,122144694
2010-03-18,2459.62,2471.93,2437.24,2445.4,52280641
2010-03-19,2446.12,2488.5,2414.21,2441.39,244713118
2010-03-22,2446.1,2449.64,2411.91,2437.59,34038188
2010-03-23,2450.72,2469.22,2446.19,2456.24,119536741
2010-03-24,2471.27,2482.17,2434.41,2445.32,36546074
2010-03-25,2462.58,2510.29,2458.33,2495.13,68077452
2010-03-26,2497.86,2513.56,2483.59,2495.65,62853342
2010-03-29,2502.2,2523.27,2480.59,2485.35,30184330
2010-03-30,2505.98,2513.59,2491.61,2506.24,36370717
2010-03-31,2494.3,2517.24,2490.43,2495.6,59782657
2010-04-01,2510.84,2552.5,2510.07,2552.5,33920722
2010-04-06,2565.41,2576.75,2550.34,2575.36,44532111
2010-04-07,2569.5,2575.09,2540.83,2561.5,44274221
2010-04-08,2536.41,2551.05,2517.96,2522.36,23614298
2010-04-09,2545.83,2559.92,2541.36,2553.58,22334198
2010-04-12,2547.91,2579.19,2547.91,2578.66,22765838
2010-04-13,2569.77,2589.92,2566.72,2587.69,29017744
2010-04-14,2589.3,2607.97,2575.18,2604.76,25391800
2010-04-15,2617.35,2619.13,2579.17,2601.01,19150337
2010-04-16,2583.21,2605.62,2574.57,2594.83,25383575
2010-04-19,2542.55,2550.3,2512.33,2534.38,84886127
2010-04-20,2550.99,2576.13,2538.49,2569.41,20794206
2010-04-21,2595.68,2596.1,2545.99,2545.99,19847154
2010-04-22,2548.72,2559.41,2483.31,2483.68,38428787
2010-04-23,2502.77,2514.63,2494.85,2514.63,32342871
2010-04-26,2550.09,2582.49,2550.09,2577.26,12647648
2010-04-27,2566.04,2580.16,2535.67,2535.67,18302932
2010-04-28,2502.79,2515.49,2472.76,2486.53,39457892
2010-04-29,2500.45,2541.59,2488.27,2534.41,22096060
2010-04-30,2567.59,2575.01,2544.12,2547.52,21483816
